carpeta,inl_tag,inl_pot_real,pulsos_pot,a_pot,sigma_W,mean_W,paso_medio_pot,mean_I_mc,sigma_I_mc,sigma_I_clt,beta_optimo_empirico,kappa_mc,kappa_clt,beta_pred_combinada,beta_pred_directo,ancho99,ancho99_frac,curvatura
beta_grid_search_SP_INL_1e-2_p_100,1e-2,0.009984686048393763,100,98.55,0.00037894620730225,-5.156888805133618e-07,9.038186628152797e-06,-4.8905324278056935e-05,0.003552065666681117,0.003550991292183241,350.0,1.243222983338391,1.2428469522641343,408.63381735760225,273.0287485838273,424.3586322530791,1.2124532350087975,-1.936784812382099e-07
beta_grid_search_SP_INL_1e-2_p_200,1e-2,0.009996308077117336,200,197.99,0.00037963678670836163,-6.803828049524778e-07,4.509497271899518e-06,-6.455825185797958e-05,0.003558865379089067,0.003557462504746948,750.0,2.6691490343168,2.668096878560211,619.814558403707,415.1138370078445,1206.8497358465652,1.6091329811287536,-1.3847294307860786e-08
beta_grid_search_SP_INL_1e-2_p_50,1e-2,0.009959610328542564,50,48.83,0.00037885274637115504,7.675216265875131e-07,1.8154351307559363e-05,8.213031416057839e-05,0.0035504481118349405,0.0035501154978196028,250.0,0.8876120279587352,0.8875288744549007,267.7620691419868,179.59790472348013,155.1485896444084,0.6205943585776336,-1.856592155638191e-06
beta_grid_search_SP_INL_1e-3_p_100,1e-3,0.0010017182938570634,100,316.81,0.0003681842507712489,-5.031573102304596e-07,9.013471879788292e-06,-4.75942079989059e-05,0.0034511933322790805,0.0034501442242035937,500.0,1.7255966661395403,1.725072112101797,446.8762743335669,334.3593146104804,619.203721569457,1.238407443138914,-6.623665491737794e-08
beta_grid_search_SP_INL_1e-3_p_200,1e-3,0.0010008223978975222,200,637.16,0.00036894393290603546,-6.687932231676558e-07,4.503348561224048e-06,-6.348228090389686e-05,0.00345895315881683,0.0034572629777191886,650.0,2.2483195532309397,2.2472209355174724,676.7592916843284,508.4532509905648,1405.916712969315,2.1629487891835617,-2.5958674294582604e-08
beta_grid_search_SP_INL_1e-3_p_50,1e-3,0.0010035739525404877,50,156.62,0.00036790493762126097,7.416668283261753e-07,1.8054524440313995e-05,7.94018306039501e-05,0.003448043418858498,0.003447526864419311,400.0,1.3792173675433992,1.3790107457677245,293.7730422856805,219.85646153893262,273.78107824263617,0.6844526956065904,-1.6016718887147174e-06
beta_grid_search_SP_INL_1e-4_p_100,1e-4,0.00010018950255648066,100,1003.53,0.00036709131892513695,-5.083960737703266e-07,9.004411162757985e-06,-4.81204967085149e-05,0.003440966421945124,0.0034399026875587954,450.0,1.5484348898753058,1.5479562094014578,451.21867172075525,409.57749880149174,661.2645476927424,1.4694767726505387,-6.908291862123431e-08
beta_grid_search_SP_INL_1e-4_p_200,1e-4,0.00010009197879367991,200,2018.36,0.0003678627618042332,-6.581221516141571e-07,4.5010965386047425e-06,-6.238173918780447e-05,0.0034488109651456544,0.003447131647483186,700.0,2.4141676756019583,2.41299215323823,683.0464801827603,622.8403204883632,1718.3318166787103,2.4547597381124433,-1.3410477411168742e-08
beta_grid_search_SP_INL_1e-4_p_50,1e-4,0.0001003983022847452,50,496.05,0.00036678478469366025,7.229010438673814e-07,1.8017850478851e-05,7.74458609485017e-05,0.0034376619288654362,0.0034370302471813637,300.0,1.031298578659631,1.031109074154409,296.8820147133137,269.3103543736316,291.09821723156006,0.9703273907718668,-4.1224275316508346e-07
beta_grid_search_SP_INL_1e-5_p_100,1e-5,1.0019671476955673e-05,100,3173.88,0.0003669832493744927,-5.150920014389513e-07,9.00141052558186e-06,-4.8882431690031145e-05,0.0034399837537767972,0.0034388900002013476,550.0,1.8919910645772384,1.8913895001107413,451.7151296564911,501.7215435499432,642.9616276069345,1.1690211411035172,-3.224951880317509e-08
beta_grid_search_SP_INL_1e-5_p_200,1e-5,1.0009569600626806e-05,200,6383.62,0.0003677559132036826,-6.640823928370619e-07,4.500350642417017e-06,-6.303507709077038e-05,0.0034478486554824343,0.0034461304012829972,600.0,2.0687091932894606,2.0676782407697982,683.7202367941204,762.9651715321321,1426.0517609677179,2.3767529349461967,-2.2978158224194546e-08
beta_grid_search_SP_INL_1e-5_p_50,1e-5,1.0041447953599432e-05,50,1568.79,0.00036667511310264206,7.280560046275091e-07,1.8005707641332828e-05,7.784334934387331e-05,0.003436640548448163,0.003436002547583898,250.0,0.8591601371120408,0.8590006368959745,297.2743607801162,329.89543048639126,197.08940621040247,0.7883576248416099,-1.0507018793196883e-06
beta_grid_search_SP_INL_2e-1_p_100,2e-1,0.1999998164113142,100,11.82,0.0005562534064479363,-1.006910537598485e-06,9.090739130297238e-06,-9.956265090130186e-05,0.0052138305451873606,0.005212483894761384,100.0,0.521383054518736,0.5212483894761384,126.41781808523103,209.64800940744806,73.09139492808538,0.7309139492808537,-9.936529081096847e-06
beta_grid_search_SP_INL_2e-1_p_200,2e-1,0.20001388454499738,200,23.76,0.000556470035732131,-8.767164190778956e-07,4.522570098551309e-06,-8.255157333916388e-05,0.005209817813115339,0.005214513862833326,200.0,1.0419635626230679,1.0429027725666653,192.92815082352973,318.7802501535366,125.10766188787315,0.6255383094393657,-2.156886884144355e-06
beta_grid_search_SP_INL_2e-1_p_50,2e-1,0.1999355340856478,50,5.85,0.0005570339063593057,1.2033916286691445e-06,1.8366682118813327e-05,0.00012759012857671643,0.005212504597003263,0.005219797725419708,100.0,0.5212504597003264,0.5219797725419708,82.13030371226692,137.8794971438889,77.9482172890386,0.7794821728903859,-1.3657427374210545e-05
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,4.837374997954803e-06,100,4567.9,0.0003669749155062433,-5.118322372414099e-07,9.000981612515203e-06,-4.855521611367791e-05,0.0034398969920547066,0.0034388119060206604,400.0,1.3759587968218827,1.375524762408264,451.7594622990093,534.9745528519777,526.9846834064208,1.317461708516052,-1.2015444891792118e-07
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,4.832479578165807e-06,200,9187.43,0.00036774898718423344,-6.650356668806651e-07,4.500244020137152e-06,-6.314265846743035e-05,0.003447780495873087,0.0034460654996313128,700.0,2.413446347111161,2.412245849741919,683.7693154959087,813.5331108963941,1341.1494566974836,1.9159277952821194,-1.066497394015542e-08
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,4.8479617130573945e-06,50,2257.81,0.00036666982997323984,7.294737433021927e-07,1.8003972036512533e-05,7.797273788120382e-05,0.003436583417918824,0.003435953040962269,250.0,0.859145854479706,0.8589882602405673,297.3048145225569,351.75971117673447,173.70952931280044,0.6948381172512018,-1.0568451313745238e-06
