carpeta,inl_tag,pulsos_pot,fuente,sigma_I,kappa_implicado,beta_pred_prezioso_literal,beta_optimo_empirico
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100.0,MC corregido (G0_init+pixeles reales),0.0035520656874769626,1.243222990616937,373.87236854422434,350.0
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200.0,MC corregido (G0_init+pixeles reales),0.00355886540010826,2.6691490500811947,373.1580328273394,750.0
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50.0,MC corregido (G0_init+pixeles reales),0.003550448132765169,0.8876120331912922,374.04270169337445,250.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100.0,MC corregido (G0_init+pixeles reales),0.003451193352482521,1.7255966762412605,384.80000282986356,500.0
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200.0,MC corregido (G0_init+pixeles reales),0.0034589531792451346,2.2483195665093376,383.9367412575099,650.0
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50.0,MC corregido (G0_init+pixeles reales),0.003448043439185864,1.3792173756743455,385.1515316510184,400.0
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100.0,MC corregido (G0_init+pixeles reales),0.0034409664420880625,1.5484348989396282,385.9436684874514,450.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200.0,MC corregido (G0_init+pixeles reales),0.003448810985514322,2.4141676898600255,385.06581467631014,700.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50.0,MC corregido (G0_init+pixeles reales),0.003437661949130574,1.0312985847391722,386.3146613754597,300.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100.0,MC corregido (G0_init+pixeles reales),0.0034399837739145828,1.8919910756530205,386.05391742602336,550.0
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200.0,MC corregido (G0_init+pixeles reales),0.0034478486758454537,2.068709205507272,385.1732882319826,600.0
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50.0,MC corregido (G0_init+pixeles reales),0.0034366405687078594,0.8591601421769648,386.429475311991,250.0
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100.0,MC corregido (G0_init+pixeles reales),0.005213830575779222,0.5213830575779222,254.71084886627796,100.0
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200.0,MC corregido (G0_init+pixeles reales),0.005209817843905222,1.0419635687810445,254.90703352618792,200.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50.0,MC corregido (G0_init+pixeles reales),0.005212504627746138,0.5212504627746137,254.77564177739822,100.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100.0,MC corregido (G0_init+pixeles reales),0.00343989701219202,1.3759588048768079,386.06365454976844,400.0
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200.0,MC corregido (G0_init+pixeles reales),0.003447780516235849,2.4134463613650943,385.1809027714907,700.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50.0,MC corregido (G0_init+pixeles reales),0.0034365834381783643,0.8591458595445911,386.4358994017692,250.0
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100.0,"Real, epoca 1",0.018200694,6.3702429,555.6625872479719,350.0
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200.0,"Real, epoca 1",0.010554014,7.9155105,958.2557610543855,750.0
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50.0,"Real, epoca 1",0.027854478,6.963619499999999,363.0814663893052,250.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100.0,"Real, epoca 1",0.03196175,15.980875,316.42337224177777,500.0
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200.0,"Real, epoca 1",0.032284215,20.98473975,313.262835034045,650.0
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50.0,"Real, epoca 1",0.031347763,12.5391052,322.6209384621365,400.0
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100.0,"Real, epoca 1",0.031928223,14.36770035,316.7556402292931,450.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200.0,"Real, epoca 1",0.032285944,22.600160799999998,313.2460589583083,700.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50.0,"Real, epoca 1",0.031227944,9.3683832,323.8588079237186,300.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100.0,"Real, epoca 1",0.031926334,17.5594837,316.77438185507424,550.0
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200.0,"Real, epoca 1",0.032283965,19.370379,313.2652608732738,600.0
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50.0,"Real, epoca 1",0.031200884,7.8002210000000005,324.1396852008629,250.0
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100.0,"Real, epoca 1",0.030002015,3.0002015,337.09218256669226,100.0
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200.0,"Real, epoca 1",0.023940677,4.7881354,422.43770791229673,200.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50.0,"Real, epoca 1",0.03180076,3.1800759999999997,318.0252521558806,100.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100.0,"Real, epoca 1",0.031924028,12.7696112,316.7972637334061,400.0
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200.0,"Real, epoca 1",0.032281343,22.596940099999998,313.2907053386422,700.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50.0,"Real, epoca 1",0.031196177,7.79904425,324.1885926518702,250.0
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100.0,"Real, epoca final",0.03193695,11.177932499999999,355.21578907219816,350.0
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200.0,"Real, epoca final",0.032149404,24.112053,352.868404490775,750.0
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50.0,"Real, epoca final",0.03153276,7.88319,359.76897977878684,250.0
beta_grid_search_SP_INL_1e-3_p_100,1e-3,100.0,"Real, epoca final",0.031804897,15.902448499999998,356.69063461546,500.0
beta_grid_search_SP_INL_1e-3_p_200,1e-3,200.0,"Real, epoca final",0.032090854,20.859055100000003,353.5122154994485,650.0
beta_grid_search_SP_INL_1e-3_p_50,1e-3,50.0,"Real, epoca final",0.031243829,12.4975316,363.0959859244313,400.0
beta_grid_search_SP_INL_1e-4_p_100,1e-4,100.0,"Real, epoca final",0.031705618,14.2675281,357.80753098108164,450.0
beta_grid_search_SP_INL_1e-4_p_200,1e-4,200.0,"Real, epoca final",0.032026477,22.4185339,354.22281679028697,700.0
beta_grid_search_SP_INL_1e-4_p_50,1e-4,50.0,"Real, epoca final",0.031117074,9.3351222,364.5750527446552,300.0
beta_grid_search_SP_INL_1e-5_p_100,1e-5,100.0,"Real, epoca final",0.03167694,17.422317,358.1314639232621,550.0
beta_grid_search_SP_INL_1e-5_p_200,1e-5,200.0,"Real, epoca final",0.03201457,19.208742,354.35456090178127,600.0
beta_grid_search_SP_INL_1e-5_p_50,1e-5,50.0,"Real, epoca final",0.031063898,7.7659745,365.1991419367054,250.0
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100.0,"Real, epoca final",0.031755343,3.1755343,357.2472479610546,100.0
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200.0,"Real, epoca final",0.031804886,6.3609772,356.69075798005815,200.0
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50.0,"Real, epoca final",0.031820606,3.1820606000000002,356.51454578864207,100.0
beta_grid_search_SP_INL_4.82e-6_p_100,4.82e-6,100.0,"Real, epoca final",0.031674683,12.669873200000001,358.1569828120881,400.0
beta_grid_search_SP_INL_4.82e-6_p_200,4.82e-6,200.0,"Real, epoca final",0.032013856,22.4096992,354.36246401587294,700.0
beta_grid_search_SP_INL_4.82e-6_p_50,4.82e-6,50.0,"Real, epoca final",0.031059032,7.7647580000000005,365.2563574682346,250.0
